time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1759864180274013400,56.78201342773438,5.859549522399902,0.1431758850812912,1.3118010759353638,3.069000005722046,0.9891703724861145,56.016353607177734,75.19999694824219,2.2106649,48.9212003
1759864182234782700,58.74278271484375,4.329998016357422,0.14599302411079407,1.3215548992156982,3.0910000801086426,0.9129819869995117,54.0062255859375,75.19999694824219,2.2106827,48.9212116
1759864183225116000,59.73311596679687,5.9890456199646,0.13602110743522644,1.287532925605774,3.071000099182129,0.9672736525535583,52.696861267089844,75.19999694824219,2.2106917,48.9212168
1759864185227883000,61.735883056640624,6.587471008300781,0.13098663091659546,1.3076261281967163,3.068000078201294,0.9344779849052429,55.42439651489258,75.19999694824219,2.2107076,48.9212259
1759864187278183000,63.78618286132812,6.229709625244141,0.20537219941616058,1.347951889038086,3.1059999465942383,0.9451273083686829,57.32468032836914,75.19999694824219,2.2107278,48.9212363
1759864188251341800,64.759341796875,6.1339216232299805,0.16754546761512756,1.2808271646499634,3.1050000190734863,1.1385459899902344,55.3383903503418,75.19999694824219,2.2107362,48.9212432
1759864190285134800,66.793134765625,6.67015266418457,0.2407650202512741,1.2533202171325684,3.111999988555908,1.1876733303070068,53.986881256103516,75.19999694824219,2.2107699,48.9212596
1759864192238596400,68.74659643554688,6.1840620040893555,0.1762653887271881,1.272757887840271,3.0799999237060547,1.1947776079177856,54.94977951049805,75.19999694824219,2.2108044,48.9212758
1759864194278352100,70.78635205078125,6.611171722412109,0.17728863656520844,1.3199470043182373,3.059999942779541,1.1924577951431274,53.48846435546875,75.19999694824219,2.2108393,48.9212911
1759864196141497900,72.64949780273437,6.172333240509033,0.22758279740810394,1.1100506782531738,3.0230000019073486,1.2252297401428223,55.01646423339844,75.4000015258789,2.2108689,48.9213044
1759864197201759700,73.709759765625,6.173037052154541,0.17029455304145813,1.0820510387420654,3.0199999809265137,1.2221219539642334,55.09073257446289,75.4000015258789,2.2108849,48.9213109
1759864198261979400,74.7699794921875,6.215025424957275,0.17114165425300598,1.0909194946289062,3.015000104904175,1.211426019668579,55.18706130981445,75.4000015258789,2.2109018,48.9213173
1759864199304084500,75.81208447265625,6.355266571044922,0.2079920470714569,1.0991061925888062,3.0190000534057617,1.2193609476089478,54.52170181274414,75.4000015258789,2.2109176,48.9213232
1759864200277641200,76.78564111328124,6.368984222412109,0.15453949570655823,1.1088653802871704,3.0460000038146973,1.212135672569275,56.18588638305664,75.4000015258789,2.2109317,48.9213284
1759864201237527600,77.74552758789062,6.755194664001465,0.16430777311325073,1.1521124839782715,3.078000068664551,1.1814364194869995,56.1992073059082,75.4000015258789,2.2109452,48.9213342
1759864203277282300,79.7852822265625,6.446323871612549,0.1726463884115219,1.0043894052505493,3.119999885559082,1.1557570695877075,58.003074645996094,75.4000015258789,2.2109745,48.9213482
1759864205258050600,81.76605053710938,6.495890140533447,0.21062272787094116,1.0141745805740356,3.13700008392334,1.1973073482513428,53.99290466308594,75.4000015258789,2.2109997,48.9213617
