time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1759954835000376600,5287.772376464844,74.12702841684222,0.7757092426145434,45.125290724948705,48.92097911663347,30.53702826425433,243.98158802411677,5.309401079047824,4.767425119143013,2.210172829664246,1.3772734705183463
1759954836000378600,5288.772378662109,74.32638681679964,0.47512160312210167,26.38120174603828,48.92097859903926,30.73638666421175,246.00189343653346,5.3248209539983025,4.8917492475209245,2.210156379720545,1.396848123212735
1759954837000382000,5289.772381835937,74.12071108352393,0.8967807060853707,59.3855836829224,48.92097489570196,30.53071093093604,242.74568343044768,5.331070447799583,4.494724328192113,2.2101423301278307,1.2212645387340297
1759954838000386300,5290.772386230468,74.34427958820015,0.9411631039995714,55.891491410385015,48.92096720270135,30.75427943561226,236.20488269272337,5.344308906587616,4.441420518610836,2.210126594876686,1.2562380453343018
1759954839000388600,5291.772388671875,74.23947287071496,0.8998015697305244,62.98885343037194,48.92096241449952,30.649472718127072,236.788609882346,5.269929390269925,4.609762954364927,2.2101146582818876,1.1554269886107595
1759954840000387800,5292.772387939453,74.62459155544639,1.0015923222093088,53.28834829559972,48.92095413815837,31.034591402858496,232.26570265307325,5.194495272454473,4.548208059463469,2.2100995555323446,1.1655229800627858
1759954841000390100,5293.772390136719,74.988207584247,1.211171530828112,52.53425983037639,48.92095212965451,31.398207431659102,233.88651536293864,5.121813125442594,4.411638916540323,2.2100910788403354,0.906935117349345
1759954842000392700,5294.772392822266,75.2058927398175,1.107983059974642,43.537198576462075,48.920944850154676,31.61589258722961,237.52838950267432,5.049473055565651,4.433114273654278,2.2100698403774977,1.2928169577006907
1759954843000394800,5295.77239477539,74.19891882315278,0.5055786174470219,27.374756800575952,48.920936728141925,30.60891867056489,241.03157221743777,4.896999398663306,4.4880325877990135,2.210053681681086,1.4040148738297074
1759954844000396800,5296.772396728516,74.41629528999329,0.5016828882493827,27.976969761267828,48.92092838289803,30.826295137405396,234.11086913556233,4.830060255957811,4.699138875454719,2.210040764327574,1.437250569462187
1759954845000399400,5297.772399414062,74.41887758858502,0.6639621611118822,37.163292957919275,48.92091939364871,30.82887743599713,232.24754856985817,4.803778071756282,4.68173748510174,2.210030305453855,1.381771739836486
1759954846000401000,5298.772400878906,74.31133349612355,0.7042977846101964,39.217837776701764,48.92090962532123,30.72133334353566,233.23606409220335,4.7316741951235555,4.58909373059145,2.210017591870331,1.3905073597947561
1759954847000403500,5299.772403564453,74.13757388480008,0.5675167242927599,31.49437655289057,48.92089668844007,30.547573732212186,230.29063066902037,4.739227093197945,4.493134273520768,2.2100055372280965,1.4244304574782334
1759954848000405800,5300.772405761719,73.77614332735538,0.5162211392040202,28.7665524351824,48.920885684629205,30.186143174767494,231.6309090250517,4.743316829847803,4.487651312586698,2.2099879720244835,1.4526306076109252
1759954849000407800,5301.772407714844,73.35154807381332,0.4930184409834584,26.770011414568902,48.9208813727901,29.76154792122543,239.8876442767379,4.712878305934186,4.508499066797466,2.2099654019270787,1.4572059659943892
1759954850000410000,5302.77241015625,73.4180518547073,0.5259457261982269,30.016387110343224,48.92087979391857,29.82805170211941,244.90446998697237,4.653016427560155,4.539692524728167,2.20994616851918,1.4189273297679708
1759954851000413000,5303.772412841797,73.44501637853682,0.5131916354797855,29.671783701607502,48.92087992682369,29.85501622594893,252.24331568381967,4.6153626181271,4.415181698070123,2.2099270059108163,1.4014537009606962
1759954852000416500,5304.772416503906,73.58050820697099,0.7690653954470802,58.196944564220765,48.92088832508605,29.9905080543831,280.5395900719202,4.665426487544534,4.2449448260408955,2.20991386855438,1.0656237289127428
1759954853000419600,5305.772419677734,73.97129685711116,0.8753960280735684,53.8034257765141,48.92089117859307,30.381296704523265,287.56705183878927,4.637344460343235,4.211215450231264,2.209895884506408,1.1107071817527685
1759954854000418600,5306.772418457032,74.14374606776983,0.9259686046354856,64.97736767033501,48.920899636467915,30.553745915181935,310.09146856873093,4.652567313878001,4.0118393980651055,2.2098882330736793,1.0573840205152905
1759954855000422000,5307.772421875,73.85260576754808,0.7620475214262312,50.670893777972644,48.92091088603001,30.262605614960194,321.98446580931125,4.561411641192956,4.255936822824555,2.2098768575543453,1.1998872405378702
1759954856000424000,5308.772423828125,73.59438071772456,0.9006513994343185,47.9761427842713,48.92092453199867,30.00438056513667,335.49800642460497,4.527433939946192,4.132557068813347,2.2098709446349662,1.3897422431020061
1759954857000425700,5309.77242578125,74.59514760505408,0.5293967017329209,22.92078512278026,48.92093397530772,31.00514745246619,340.1832130697269,4.521334286406178,4.511678550598217,2.209863465385314,1.3960746819509908
1759954858000428800,5310.772428710938,73.13184190262109,0.7043612005542721,29.62970673407104,48.9209473167316,29.5418417500332,334.869365942318,4.420575774820745,4.253810180759588,2.2098511236125913,1.3523393705951583
1759954859000431000,5311.772431152343,73.72231073211879,0.7544400341252926,44.55609061410447,48.920954719975306,30.132310579530895,326.02983735200695,4.492445469669163,4.433565048571971,2.209839316861472,1.3234618458623548
1759954860000433000,5312.7724328613285,73.93174597993493,0.7990461758712234,52.00750041730852,48.9209646341603,30.34174582734704,332.8314951627458,4.44385198815438,4.320107646278144,2.209834359052479,1.2156023686058808
1759954861000539000,5313.772538818359,74.43600610550493,1.0371987286969928,52.902747314123026,48.920972838128975,30.84600595291704,339.9545500692415,4.423281681584366,4.379825844229828,2.2098308353624057,1.015385364488891
1759954862000546000,5314.772546142578,74.37130933720618,0.9867371055727773,65.75767860281843,48.92098186511524,30.781309184618294,342.2001399436809,4.4274872219419565,3.964138218092501,2.2098275417058275,1.027869319805525
1759954863000543500,5315.772543457031,74.56934844516218,0.9786475869104584,54.50357809375344,48.920992470953486,30.979348292574286,342.0858243743368,4.402500004845046,3.994100211720402,2.209822350790157,1.1718391900959901
1759954864000532700,5316.772532714844,75.33030613604933,0.714233263033933,26.061023516043488,48.92100465970333,31.74030598346144,337.55539359828146,4.372850721094411,4.031113198423224,2.209813009033209,1.3377320678950138
1759954865000540700,5317.772540771484,75.04566668905318,0.6533955841951886,35.02276703513363,48.921015289901625,31.455666536465287,328.54757096107045,4.460390325396391,4.170292674903537,2.2097955247393712,1.4024248523919218
1759954866000534500,5318.772534423828,74.36349677387625,0.9142341080709501,43.002759625759445,48.921022146174174,30.77349662128836,311.2365923225258,4.482728099307985,4.23013613046375,2.2097751177847633,1.2635471779225735
1759954867000526800,5319.772526855469,74.18652027472854,0.9191253675869526,48.17538230130633,48.92103947668719,30.596520122140646,328.64652512885505,4.376577177723786,3.967916481242543,2.2097699212173545,1.3952022209419248
1759954868000519000,5320.772518798828,72.8548135003075,1.0785429383406648,39.23202964429797,48.92104970708614,29.26481334771961,322.6974190949331,4.410349013293339,3.937969820855598,2.2097514499981123,1.4447825233098368
1759954869000507100,5321.772507080078,73.30050504207611,0.7111539517285539,37.81674872037675,48.921056304265235,29.71050488948822,320.92434165258226,4.402373059034581,4.040917211253749,2.2097395274379306,1.4099857403039322
1759954870000493000,5322.772493164062,72.49942791648209,0.9114418828800581,44.15441390130092,48.921064655820764,28.9094277638942,324.44592748152286,4.454377171846006,4.194544244619641,2.2097308340544846,1.2786902786469458
1759954871000480800,5323.772480712891,71.52328227553517,1.2040589198029308,42.90683939865322,48.92106799530389,27.933282122947276,335.5171764976367,4.495547113752277,4.017870442724531,2.209732313127033,0.6608941553184684
