time,seconds_elapsed,bpm
1755571395186000000,-4294691.155000244,136
1755571396194000000,-4294690.147000244,136
1755571397201000000,-4294689.14,136
1755571398208000000,-4294688.133,136
1755571399215000000,-4294687.126,136
1755571400222000000,-4294686.118999756,135
1755571401230000000,-4294685.110999756,134
1755571402237000000,-4294684.104,133
1755571403245000000,-4294683.096,133
1755571404253000000,-4294682.088,133
1755571405260000000,-4294681.081,133
1755571406268000000,-4294680.073,134
1755571407276000000,-4294679.065,134
1755571408284000000,-4294678.057,134
1755571409291000000,-4294677.05,134
1755571410298000000,-4294676.043000245,133
1755571411306000000,-4294675.035000244,131
1755571412314000000,-4294674.027000244,130
1755571413322000000,-4294673.019000244,128
1755571414330000000,-4294672.011000244,128
1755571415338000000,-4294671.0030002445,127
1755571416345000000,-4294669.996,127
1755571417353000000,-4294668.988,127
1755571418361000000,-4294667.98,127
1755571419370000000,-4294666.971000244,127
1755571420378000000,-4294665.963000244,127
1755571421386000000,-4294664.955000244,128
1755571422394000000,-4294663.947000244,128
1755571423402000000,-4294662.939000244,129
1755571424410000000,-4294661.931000244,129
1755571425418000000,-4294660.923000244,130
1755571426426000000,-4294659.915000244,130
1755571427434000000,-4294658.907000245,130
1755571428442000000,-4294657.899000244,130
1755571429450000000,-4294656.891000244,130
1755571430458000000,-4294655.883000244,130
1755571431466000000,-4294654.875000244,129
1755571432473000000,-4294653.868,129
1755571433480000000,-4294652.861,128
1755571434488000000,-4294651.853,128
1755571435496000000,-4294650.845,128
1755571436504000000,-4294649.837,128
1755571437511000000,-4294648.83,127
1755571438519000000,-4294647.822,127
1755571439527000000,-4294646.814,127
1755571440534000000,-4294645.806999756,127
1755571441542000000,-4294644.798999756,126
1755571442549000000,-4294643.792,126
1755571443557000000,-4294642.784,125
1755571444564000000,-4294641.777,125
1755571445571000000,-4294640.77,125
1755571446579000000,-4294639.762,126
1755571447586000000,-4294638.755000244,126
1755571448593000000,-4294637.748,126
1755571449601000000,-4294636.74,126
1755571450609000000,-4294635.732,126
1755571451616000000,-4294634.725,125
1755571452624000000,-4294633.717,125
1755571453631000000,-4294632.71,125
1755571454639000000,-4294631.702,125
1755571455647000000,-4294630.694,126
1755571456655000000,-4294629.686,126
1755571457662000000,-4294628.6789997555,127
1755571458670000000,-4294627.670999756,127
1755571459677000000,-4294626.664,128
1755571460685000000,-4294625.656,128
1755571461693000000,-4294624.648,128
1755571462701000000,-4294623.64,128
1755571463708000000,-4294622.633,128
1755571464716000000,-4294621.625,129
1755571465723000000,-4294620.618,129
1755571466730000000,-4294619.6110002445,129
1755571467738000000,-4294618.603000244,129
1755571468746000000,-4294617.595000244,128
1755571469753000000,-4294616.588,128
1755571470761000000,-4294615.58,128
1755571471768000000,-4294614.573,128
1755571472776000000,-4294613.565,128
1755571473784000000,-4294612.557,128
1755571474791000000,-4294611.55,129
1755571475798000000,-4294610.542999756,129
1755571476806000000,-4294609.534999756,129
1755571477813000000,-4294608.528,130
1755571478821000000,-4294607.52,130
1755571479829000000,-4294606.512,130
1755571480836000000,-4294605.505,130
1755571481844000000,-4294604.497,130
1755571482852000000,-4294603.489,130
1755571483860000000,-4294602.481,130
1755571484868000000,-4294601.473,129
1755571485875000000,-4294600.466,129
1755571486883000000,-4294599.458,129
1755571487891000000,-4294598.45,129
1755571488898000000,-4294597.443000244,129
1755571489905000000,-4294596.436,129
1755571490913000000,-4294595.428,129
1755571491921000000,-4294594.42,129
1755571492928000000,-4294593.413,129
1755571493936000000,-4294592.405,130
1755571494943000000,-4294591.398,130
1755571495951000000,-4294590.39,130
1755571496958000000,-4294589.382999755,130
1755571497966000000,-4294588.374999756,130
1755571498974000000,-4294587.366999756,130
1755571499981000000,-4294586.36,129
1755571500989000000,-4294585.352,129
1755571501997000000,-4294584.344,129
1755571503004000000,-4294583.337,129
1755571504012000000,-4294582.329,129
1755571505020000000,-4294581.321,129
1755571506027000000,-4294580.314,130
1755571507035000000,-4294579.306,130
1755571508043000000,-4294578.298,131
1755571509051000000,-4294577.29,131
1755571510059000000,-4294576.282,132
1755571511066000000,-4294575.275000244,132
1755571512074000000,-4294574.267000244,132
1755571513081000000,-4294573.26,132
1755571514088000000,-4294572.253,132
1755571515095000000,-4294571.246,132
1755571516103000000,-4294570.238,132
1755571517110000000,-4294569.230999756,132
1755571518118000000,-4294568.222999756,132
1755571519126000000,-4294567.214999756,132
1755571520133000000,-4294566.208,132
1755571521141000000,-4294565.2,132
1755571522148000000,-4294564.193,132
1755571523156000000,-4294563.185,132
1755571524164000000,-4294562.177,132
1755571525171000000,-4294561.17,132
1755571526178000000,-4294560.163000244,132
1755571527185000000,-4294559.156,131
1755571528193000000,-4294558.148,132
1755571529200000000,-4294557.141,132
1755571530207000000,-4294556.134,132
1755571531215000000,-4294555.126,132
1755571532222000000,-4294554.118999756,132
1755571533230000000,-4294553.110999756,131
1755571534238000000,-4294552.102999756,131
1755571535246000000,-4294551.094999756,131
1755571536253000000,-4294550.088,130
1755571537260000000,-4294549.081,129
1755571538268000000,-4294548.073,129
1755571539276000000,-4294547.065,129
1755571540284000000,-4294546.057,129
1755571541290000000,-4294545.051000244,129
1755571542298000000,-4294544.043000245,129
1755571543306000000,-4294543.035000244,129
1755571544313000000,-4294542.028,129
1755571545321000000,-4294541.02,129
1755571546329000000,-4294540.012,129
1755571547337000000,-4294539.004,128
1755571548344000000,-4294537.997,128
1755571549353000000,-4294536.988,128
1755571550360000000,-4294535.981,128
1755571551368000000,-4294534.973,128
1755571552376000000,-4294533.965,128
1755571553384000000,-4294532.957,127
1755571554392000000,-4294531.949,127
1755571555399000000,-4294530.942,127
1755571556407000000,-4294529.934,126
1755571557415000000,-4294528.926,126
1755571558422000000,-4294527.918999756,126
1755571559430000000,-4294526.910999756,126
1755571560437000000,-4294525.904,126
1755571561445000000,-4294524.896,127
1755571562453000000,-4294523.888,127
1755571563460000000,-4294522.881,127
1755571564468000000,-4294521.873,127
1755571565475000000,-4294520.866,127
1755571566482000000,-4294519.859000244,126
1755571567490000000,-4294518.851000244,126
1755571568498000000,-4294517.843000244,126
1755571569506000000,-4294516.835000244,125
1755571570514000000,-4294515.8270002445,125
1755571571521000000,-4294514.82,125
1755571572529000000,-4294513.812,124
1755571573537000000,-4294512.804,124
1755571574544000000,-4294511.797,124
1755571575552000000,-4294510.789,124
1755571576560000000,-4294509.781,124
1755571577567000000,-4294508.774,123
1755571578574000000,-4294507.766999756,123
1755571579582000000,-4294506.758999756,123
1755571580590000000,-4294505.750999756,123
1755571581599000000,-4294504.742,123
1755571582606000000,-4294503.734999755,123
1755571583614000000,-4294502.726999756,124
1755571584621000000,-4294501.72,125
1755571585628000000,-4294500.713,126
1755571586636000000,-4294499.705,127
1755571587644000000,-4294498.697,129
1755571588651000000,-4294497.69,130
1755571589658000000,-4294496.683000244,130
1755571590666000000,-4294495.675000244,131
1755571591674000000,-4294494.667000244,131
1755571592681000000,-4294493.66,132
1755571593689000000,-4294492.652,136
1755571594696000000,-4294491.645,140
1755571595704000000,-4294490.637,141
1755571596711000000,-4294489.63,140
1755571597719000000,-4294488.622,140
1755571598726000000,-4294487.614999756,139
1755571599734000000,-4294486.606999756,138
1755571600741000000,-4294485.6,137
1755571601749000000,-4294484.592,136
1755571602756000000,-4294483.585,136
1755571603764000000,-4294482.577,135
1755571604772000000,-4294481.569,135
1755571605779000000,-4294480.562,135
1755571606787000000,-4294479.554,134
1755571607795000000,-4294478.546,134
1755571608803000000,-4294477.538,134
1755571609810000000,-4294476.531000244,134
1755571610818000000,-4294475.523000244,135
1755571611825000000,-4294474.516,135
1755571612832000000,-4294473.509,136
1755571613840000000,-4294472.501,135
1755571614847000000,-4294471.494,135
1755571615855000000,-4294470.486,135
1755571616862000000,-4294469.478999756,134
1755571617870000000,-4294468.470999756,134
1755571618878000000,-4294467.4629997555,134
1755571619885000000,-4294466.456,134
1755571620893000000,-4294465.448,134
1755571621901000000,-4294464.44,134
1755571622908000000,-4294463.433,134
1755571623916000000,-4294462.425,135
1755571624924000000,-4294461.417,135
1755571625931000000,-4294460.41,135
1755571626938000000,-4294459.403000244,136
1755571627946000000,-4294458.3950002445,136
1755571628953000000,-4294457.388,136
1755571629961000000,-4294456.38,135
1755571630969000000,-4294455.372,135
1755571631976000000,-4294454.365,134
1755571632984000000,-4294453.357,133
1755571633992000000,-4294452.349,132
1755571634999000000,-4294451.342,132
1755571636007000000,-4294450.334,132
1755571637014000000,-4294449.326999756,132
1755571638020000000,-4294448.321,132
1755571639028000000,-4294447.313,132
1755571640035000000,-4294446.306,132
1755571641043000000,-4294445.298,132
1755571642050000000,-4294444.291000244,133
1755571643058000000,-4294443.283000244,133
1755571644065000000,-4294442.276,133
1755571645072000000,-4294441.269,132
1755571646079000000,-4294440.262,132
1755571647086000000,-4294439.254999756,132
1755571648094000000,-4294438.2469997555,132
1755571649101000000,-4294437.24,133
