time,seconds_elapsed,relativeAltitude,pressure
1759866446610169000,360.2691691894531,-2.1613845825195312,1022.967529296875
1759866446710156800,360.3691567382813,-2.1983718872070312,1022.9716796875
1759866446810144800,360.46914477539065,-2.0715484619140625,1022.956298828125
1759866446910132700,360.5691328125,-2.1085357666015625,1022.961181640625
1759866447010120400,360.6691203613281,-2.1085357666015625,1022.961181640625
1759866447110108700,360.76910864257815,-2.3939056396484375,1022.99560546875
1759866447210097000,360.8690969238281,-2.3727645874023438,1022.992919921875
1759866447310084900,360.9690849609375,-2.3727645874023438,1022.992919921875
1759866447410073000,361.06907299804686,-2.383331298828125,1022.994140625
1759866447510061300,361.1690612792969,-2.3252029418945312,1022.987060546875
1759866447610049800,361.2690498046875,-2.3252029418945312,1022.987060546875
1759866447710038300,361.3690383300781,-2.4573211669921875,1023.0029296875
1759866447810026500,361.4690266113281,-2.3727645874023438,1022.9931640625
1759866447910014700,361.5690146484375,-2.3727645874023438,1022.9931640625
1759866448010002700,361.6690026855469,-2.219512939453125,1022.97412109375
1759866448109990700,361.76899072265627,-2.2248001098632812,1022.975341796875
1759866448209978600,361.868978515625,-2.2248001098632812,1022.975341796875
1759866448309966800,361.968966796875,-2.1032562255859375,1022.960205078125
1759866448409955000,362.068955078125,-2.0979690551757812,1022.9599609375
1759866448509943300,362.168943359375,-2.0979690551757812,1022.9599609375
1759866448609931500,362.268931640625,-2.1613845825195312,1022.967529296875
1759866448709920000,362.368919921875,-2.1983718872070312,1022.971923828125
1759866448809908200,362.468908203125,-2.1825180053710938,1022.9697265625
1759866448909896200,362.5688962402344,-2.1455307006835938,1022.96533203125
1759866449009884400,362.66888452148436,-2.2248001098632812,1022.975341796875
1759866449109872600,362.7688725585937,-2.3727645874023438,1022.99267578125
1759866449209860900,362.86886083984376,-2.3621978759765625,1022.991455078125
1759866449309849000,362.96884912109374,-2.4943084716796875,1023.007568359375
1759866449409837300,363.0688374023438,-2.5577239990234375,1023.015625
1759866449509825500,363.16882543945314,-2.3886184692382812,1022.994873046875
1759866449609813800,363.2688137207031,-2.4520339965820312,1023.00244140625
1759866449709802200,363.36880224609376,-2.5577239990234375,1023.015625
1759866449809790500,363.46879052734374,-2.47845458984375,1023.005615234375
1759866449909778700,363.5687788085938,-2.4520339965820312,1023.002685546875
1759866450009767000,363.66876684570315,-2.5048751831054688,1023.0087890625
1759866450109755000,363.7687548828125,-2.4995956420898438,1023.008544921875
1759866450209742800,363.8687429199219,-2.4256134033203125,1022.999267578125
1759866450309730600,363.96873046875,-2.2670745849609375,1022.980224609375
1759866450409718800,364.06871875,-2.2089462280273438,1022.972900390625
1759866450509707000,364.16870703125,-2.3886184692382812,1022.99462890625
1759866450609695200,364.2686953125,-2.3569107055664062,1022.9912109375
1759866450709683500,364.3686833496094,-2.1772384643554688,1022.968994140625
1759866450809671700,364.4686716308594,-2.1296768188476562,1022.96337890625
1759866450909660000,364.56865991210935,-2.08740234375,1022.95849609375
1759866451009647900,364.6686479492187,-2.2617874145507812,1022.979248046875
1759866451109636000,364.76863598632815,-2.2987823486328125,1022.984130859375
1759866451209624000,364.8686240234375,-2.2987823486328125,1022.984130859375
1759866451309612000,364.9686120605469,-2.31463623046875,1022.986083984375
1759866451409600000,365.06860009765626,-2.2934951782226562,1022.983154296875
1759866451509588000,365.168587890625,-2.2934951782226562,1022.983154296875
1759866451609576000,365.2685759277344,-2.0768280029296875,1022.95703125
1759866451709564000,365.36856396484376,-2.1772384643554688,1022.968994140625
1759866451809552000,365.4685517578125,-2.1772384643554688,1022.968994140625
1759866451909539800,365.5685397949219,-2.1085357666015625,1022.960693359375
1759866452009527800,365.66852783203126,-2.1243896484375,1022.963134765625
1759866452109515800,365.76851586914063,-2.1243896484375,1022.963134765625
1759866452209503700,365.8685036621094,-2.1455307006835938,1022.96533203125
1759866452309491700,365.96849169921876,-2.1719512939453125,1022.96875
1759866452409479400,366.0684794921875,-2.1719512939453125,1022.96875
1759866452509467600,366.1684675292969,-2.0821151733398438,1022.957763671875
1759866452609455900,366.26845581054687,-2.0979690551757812,1022.95947265625
1759866452709444000,366.3684440917969,-2.0979690551757812,1022.95947265625
1759866452809431600,366.468431640625,-2.0662612915039062,1022.95556640625
1759866452909419800,366.56841967773437,-2.2353668212890625,1022.976318359375
1759866453009408000,366.6684079589844,-2.2089462280273438,1022.973388671875
1759866453109396200,366.7683962402344,-2.2882156372070312,1022.98291015625
1759866453209384400,366.86838452148436,-2.1666641235351562,1022.968017578125
1759866453309372700,366.9683725585937,-2.1772384643554688,1022.96923828125
1759866453409360600,367.0683605957031,-2.029266357421875,1022.951416015625
1759866453509348400,367.16834838867186,-2.0662612915039062,1022.955810546875
1759866453609336600,367.2683366699219,-2.1719512939453125,1022.968505859375
1759866453709324300,367.36832421875,-2.156097412109375,1022.966796875
1759866453809312300,367.46831225585936,-2.2300796508789062,1022.9755859375
1759866453909300500,367.5683005371094,-2.4044723510742188,1022.996826171875
1759866454009288700,367.6682888183594,-2.31463623046875,1022.986083984375
1759866454109277000,367.76827685546874,-2.346343994140625,1022.989990234375
1759866454209265200,367.8682651367188,-2.3569107055664062,1022.9912109375
1759866454309253400,367.96825341796875,-2.4943084716796875,1023.007568359375
1759866454409241300,368.0682414550781,-2.3780517578125,1022.99365234375
1759866454509229600,368.1682294921875,-2.35162353515625,1022.990478515625
1759866454609217500,368.26821752929686,-2.4308929443359375,1022.999755859375
1759866454709205800,368.3682058105469,-2.2776412963867188,1022.9814453125
1759866454809193500,368.468193359375,-2.06097412109375,1022.955078125
1759866454909181700,368.568181640625,-2.092681884765625,1022.958984375
1759866455009170000,368.668169921875,-2.1455307006835938,1022.965576171875
1759866455109158100,368.768158203125,-2.1085357666015625,1022.961181640625
1759866455209146400,368.868146484375,-2.08740234375,1022.958251953125
1759866455309134300,368.9681342773437,-2.1402435302734375,1022.96484375
1759866455409122600,369.06812255859376,-2.1402435302734375,1022.96484375
1759866455509110800,369.16811083984373,-2.1930923461914062,1022.97119140625
1759866455609098500,369.2680983886719,-2.35162353515625,1022.990478515625
1759866455709086500,369.36808642578126,-2.35162353515625,1022.990478515625
1759866455809074700,369.46807470703123,-2.2882156372070312,1022.98291015625
1759866455909063000,369.56806298828127,-2.4044723510742188,1022.996826171875
1759866456009051100,369.66805102539064,-2.4044723510742188,1022.996826171875
1759866456109039000,369.7680390625,-2.3621978759765625,1022.99169921875
1759866456209027300,369.86802734375,-2.2670745849609375,1022.980224609375
1759866456309015600,369.968015625,-2.2670745849609375,1022.980224609375
1759866456409003800,370.0680036621094,-2.2089462280273438,1022.972900390625
1759866456508992000,370.16799194335937,-2.2353668212890625,1022.9765625
1759866456608980000,370.26797998046874,-2.2353668212890625,1022.9765625
1759866456708967700,370.3679677734375,-2.3093490600585938,1022.985107421875
1759866456808956000,370.46795581054687,-2.4044723510742188,1022.9970703125
1759866456908944100,370.5679440917969,-2.4044723510742188,1022.9970703125
1759866457008932000,370.6679321289063,-2.31463623046875,1022.98583984375
1759866457108920000,370.76792016601564,-2.2776412963867188,1022.981689453125
1759866457208908000,370.86790795898435,-2.2776412963867188,1022.981201171875
1759866457308896000,370.9678959960938,-2.2142257690429688,1022.973876953125
1759866457408884000,371.06788403320314,-2.0715484619140625,1022.95654296875
1759866457508872000,371.16787182617185,-1.9605712890625,1022.943115234375
1759866457608860000,371.2678598632813,-2.08740234375,1022.95849609375
1759866457708848000,371.36784814453125,-1.9394302368164062,1022.9404296875
1759866457808869400,371.4678693847656,-1.9711380004882812,1022.944091796875
1759866457908891000,371.5678908691406,-1.9817123413085938,1022.945556640625
1759866458008912400,371.66791235351565,-2.2353668212890625,1022.97607421875
1759866458108934000,371.7679338378906,-2.1613845825195312,1022.967529296875
1759866458208955400,371.86795532226563,-2.1085357666015625,1022.961181640625
1759866458308977200,371.96797705078126,-2.0662612915039062,1022.9560546875
1759866458408998700,372.0679985351563,-1.8495941162109375,1022.929443359375
1759866458509020200,372.16802026367185,-1.9235763549804688,1022.938720703125
