time,seconds_elapsed,pressure,relativeAltitude
1759866095202807800,8.861807861328124,1019.884521484375,-0.021137237548828125
1759866095303485200,8.962485107421875,1019.90625,-0.20080947875976562
1759866095404101600,9.0631015625,1019.85791015625,0.20081329345703125
1759866095504779300,9.163779296875,1019.890625,-0.06869888305664062
1759866095605548300,9.26454833984375,1019.87939453125,0.02114105224609375
1759866095706286800,9.365286865234374,1019.894287109375,-0.10040283203125
1759866095807056000,9.466055908203124,1019.8671875,0.1268310546875
1759866095907763700,9.566763671875,1019.859619140625,0.18495941162109375
1759866096008624400,9.667624267578125,1019.87060546875,0.095123291015625
1759866096109393400,9.768393310546875,1019.88720703125,-0.04227447509765625
1759866096210162400,9.869162353515625,1019.853759765625,0.2378082275390625
1759866096310718000,9.969718017578124,1019.844482421875,0.31179046630859375
1759866096411304000,10.070303955078124,1019.846435546875,0.29593658447265625
